topic,description,source,url,text
Number of suspected meningitis cases reported,WHO Global Health Observatory - Number of suspected meningitis cases reported,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/MENING_2,[WHO-GHO] Number of suspected meningitis cases reported: WHO Global Health Observatory - Number of suspected meningitis cases reported
Number of meningitis epidemic districts,WHO Global Health Observatory - Number of meningitis epidemic districts,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/MENING_3,[WHO-GHO] Number of meningitis epidemic districts: WHO Global Health Observatory - Number of meningitis epidemic districts
"Obesity among adults, BMI ≥ 30 kg/m2 (age-standardized estimate) (%)","WHO Global Health Observatory - Obesity among adults, BMI ≥ 30 kg/m2 (age-standardized estimate) (%)",WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/NCD_BMI_30A,"[WHO-GHO] Obesity among adults, BMI ≥ 30 kg/m2 (age-standardized estimate) (%): WHO Global Health Observatory - Obesity among adults, BMI ≥ 30 kg/m2 (age-standardized estimate) (%)"
Measles immunization coverage among one-year-olds (%),WHO Global Health Observatory - Measles immunization coverage among one-year-olds (%),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/mslv,[WHO-GHO] Measles immunization coverage among one-year-olds (%): WHO Global Health Observatory - Measles immunization coverage among one-year-olds (%)
"Obesity among adults, BMI ≥ 30 kg/m2 (crude estimate) (%)","WHO Global Health Observatory - Obesity among adults, BMI ≥ 30 kg/m2 (crude estimate) (%)",WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/NCD_BMI_30C,"[WHO-GHO] Obesity among adults, BMI ≥ 30 kg/m2 (crude estimate) (%): WHO Global Health Observatory - Obesity among adults, BMI ≥ 30 kg/m2 (crude estimate) (%)"
Estimated number of malaria cases,WHO Global Health Observatory - Estimated number of malaria cases,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/MALARIA002,[WHO-GHO] Estimated number of malaria cases: WHO Global Health Observatory - Estimated number of malaria cases
Malaria - number of reported deaths,WHO Global Health Observatory - Malaria - number of reported deaths,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/MALARIA001,[WHO-GHO] Malaria - number of reported deaths: WHO Global Health Observatory - Malaria - number of reported deaths
Cholera case fatality rate,WHO Global Health Observatory - Cholera case fatality rate,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/CHOLERA_0000000003,[WHO-GHO] Cholera case fatality rate: WHO Global Health Observatory - Cholera case fatality rate
Number of reported deaths from cholera,WHO Global Health Observatory - Number of reported deaths from cholera,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/CHOLERA_0000000002,[WHO-GHO] Number of reported deaths from cholera: WHO Global Health Observatory - Number of reported deaths from cholera
"Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (age-standardized estimate) (%)","WHO Global Health Observatory - Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (age-standardized estimate) (%)",WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/NCD_BMI_PLUS2A,"[WHO-GHO] Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (age-standardized estimate) (%): WHO Global Health Observatory - Prevalence of obesity among children and adolescents, BMI > +2 standard deviations above the median (age-standardized estimate) (%)"
Number of under-five deaths from malaria,WHO Global Health Observatory - Number of under-five deaths from malaria,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/MALARIA004,[WHO-GHO] Number of under-five deaths from malaria: WHO Global Health Observatory - Number of under-five deaths from malaria
Existence of national screening program for breast cancer,WHO Global Health Observatory - Existence of national screening program for breast cancer,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/NCD_CCS_breastcancerscreening,[WHO-GHO] Existence of national screening program for breast cancer: WHO Global Health Observatory - Existence of national screening program for breast cancer
Most widely used screening method in national cervical cancer screening program,WHO Global Health Observatory - Most widely used screening method in national cervical cancer screening program,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/NCD_CCS_cervicalcancermethod,[WHO-GHO] Most widely used screening method in national cervical cancer screening program: WHO Global Health Observatory - Most widely used screening method in national cervical cancer screening program
Existence of national screening program for cervical cancer,WHO Global Health Observatory - Existence of national screening program for cervical cancer,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/NCD_CCS_cervicalcancerscreening,[WHO-GHO] Existence of national screening program for cervical cancer: WHO Global Health Observatory - Existence of national screening program for cervical cancer
Deaths due to tuberculosis among HIV-positive people (per 100 000 population),WHO Global Health Observatory - Deaths due to tuberculosis among HIV-positive people (per 100 000 population),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/MDG_0000000018,[WHO-GHO] Deaths due to tuberculosis among HIV-positive people (per 100 000 population): WHO Global Health Observatory - Deaths due to tuberculosis among HIV-positive people (per 100 000 population)
Prevalence of HIV among adults aged >=15 years (per 100 000 population),WHO Global Health Observatory - Prevalence of HIV among adults aged >=15 years (per 100 000 population),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/MDG_0000000019,[WHO-GHO] Prevalence of HIV among adults aged >=15 years (per 100 000 population): WHO Global Health Observatory - Prevalence of HIV among adults aged >=15 years (per 100 000 population)
Incidence of tuberculosis (per 100 000 population per year),WHO Global Health Observatory - Incidence of tuberculosis (per 100 000 population per year),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/MDG_0000000020,[WHO-GHO] Incidence of tuberculosis (per 100 000 population per year): WHO Global Health Observatory - Incidence of tuberculosis (per 100 000 population per year)
General availability of breast cancer screening (by palpation or mammogram) at the primary health care level,WHO Global Health Observatory - General availability of breast cancer screening (by palpation or mammogram) at the primary health care level,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/NCD_CCS_BreastCancer,[WHO-GHO] General availability of breast cancer screening (by palpation or mammogram) at the primary health care level: WHO Global Health Observatory - General availability of breast cancer screening (by palpation or mammogram) at the primary health care level
Existence of operational policy/strategy/action plan for cancer,WHO Global Health Observatory - Existence of operational policy/strategy/action plan for cancer,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/NCD_CCS_CancerPlan,[WHO-GHO] Existence of operational policy/strategy/action plan for cancer: WHO Global Health Observatory - Existence of operational policy/strategy/action plan for cancer
General availability of colon cancer screening at the primary health care level,WHO Global Health Observatory - General availability of colon cancer screening at the primary health care level,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/NCD_CCS_BowelCancer,[WHO-GHO] General availability of colon cancer screening at the primary health care level: WHO Global Health Observatory - General availability of colon cancer screening at the primary health care level
Existence of population-based cancer registry,WHO Global Health Observatory - Existence of population-based cancer registry,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/NCD_CCS_CancerRegNational,[WHO-GHO] Existence of population-based cancer registry: WHO Global Health Observatory - Existence of population-based cancer registry
Type of national cervical cancer screening program,WHO Global Health Observatory - Type of national cervical cancer screening program,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/NCD_CCS_cervicalcancerpgmtype,[WHO-GHO] Type of national cervical cancer screening program: WHO Global Health Observatory - Type of national cervical cancer screening program
Deaths due to tuberculosis among HIV-negative people (per 100 000 population),WHO Global Health Observatory - Deaths due to tuberculosis among HIV-negative people (per 100 000 population),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/MDG_0000000017,[WHO-GHO] Deaths due to tuberculosis among HIV-negative people (per 100 000 population): WHO Global Health Observatory - Deaths due to tuberculosis among HIV-negative people (per 100 000 population)
Tuberculosis detection rate under DOTS (%),WHO Global Health Observatory - Tuberculosis detection rate under DOTS (%),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/MDG_0000000022,[WHO-GHO] Tuberculosis detection rate under DOTS (%): WHO Global Health Observatory - Tuberculosis detection rate under DOTS (%)
Children aged < 5 years with pneumonia symptoms taken to a health facility (%),WHO Global Health Observatory - Children aged < 5 years with pneumonia symptoms taken to a health facility (%),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/carep,[WHO-GHO] Children aged < 5 years with pneumonia symptoms taken to a health facility (%): WHO Global Health Observatory - Children aged < 5 years with pneumonia symptoms taken to a health facility (%)
Existence of operational policy/strategy/action plan for cardiovascular diseases,WHO Global Health Observatory - Existence of operational policy/strategy/action plan for cardiovascular diseases,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/NCD_CCS_CVDPlan,[WHO-GHO] Existence of operational policy/strategy/action plan for cardiovascular diseases: WHO Global Health Observatory - Existence of operational policy/strategy/action plan for cardiovascular diseases
Existence of a diabetes registry,WHO Global Health Observatory - Existence of a diabetes registry,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/NCD_CCS_DiabetesReg,[WHO-GHO] Existence of a diabetes registry: WHO Global Health Observatory - Existence of a diabetes registry
"General availability of diabetes testing (by blood glucose measurement, OGTT, or HbA1c) at the primary health care level","WHO Global Health Observatory - General availability of diabetes testing (by blood glucose measurement, OGTT, or HbA1c) at the primary health care level",WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/NCD_CCS_DiabetesTest,"[WHO-GHO] General availability of diabetes testing (by blood glucose measurement, OGTT, or HbA1c) at the primary health care level: WHO Global Health Observatory - General availability of diabetes testing (by blood glucose measurement, OGTT, or HbA1c) at the primary health care level"
Existence of operational policy/strategy/action plan for diabetes,WHO Global Health Observatory - Existence of operational policy/strategy/action plan for diabetes,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/NCD_CCS_DiabPlan,[WHO-GHO] Existence of operational policy/strategy/action plan for diabetes: WHO Global Health Observatory - Existence of operational policy/strategy/action plan for diabetes
"Obesity among children and adolescents, BMI-for-age > +2 standard deviations above the median (crude estimate) (%)","WHO Global Health Observatory - Obesity among children and adolescents, BMI-for-age > +2 standard deviations above the median (crude estimate) (%)",WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/NCD_BMI_PLUS2C,"[WHO-GHO] Obesity among children and adolescents, BMI-for-age > +2 standard deviations above the median (crude estimate) (%): WHO Global Health Observatory - Obesity among children and adolescents, BMI-for-age > +2 standard deviations above the median (crude estimate) (%)"
Estimated number of malaria deaths,WHO Global Health Observatory - Estimated number of malaria deaths,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/MALARIA003,[WHO-GHO] Estimated number of malaria deaths: WHO Global Health Observatory - Estimated number of malaria deaths
Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),WHO Global Health Observatory - Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/MCV2,[WHO-GHO] Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%): WHO Global Health Observatory - Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%)
Number of reported cases of cholera,WHO Global Health Observatory - Number of reported cases of cholera,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/CHOLERA_0000000001,[WHO-GHO] Number of reported cases of cholera: WHO Global Health Observatory - Number of reported cases of cholera
Children aged <5 years with fever who received treatment with any antimalarial (%),WHO Global Health Observatory - Children aged <5 years with fever who received treatment with any antimalarial (%),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/MDG_0000000014,[WHO-GHO] Children aged <5 years with fever who received treatment with any antimalarial (%): WHO Global Health Observatory - Children aged <5 years with fever who received treatment with any antimalarial (%)
Deaths due to malaria (per 100 000 population),WHO Global Health Observatory - Deaths due to malaria (per 100 000 population),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/MDG_0000000016,[WHO-GHO] Deaths due to malaria (per 100 000 population): WHO Global Health Observatory - Deaths due to malaria (per 100 000 population)
Prevalence of tuberculosis (per 100 000 population),WHO Global Health Observatory - Prevalence of tuberculosis (per 100 000 population),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/MDG_0000000023,[WHO-GHO] Prevalence of tuberculosis (per 100 000 population): WHO Global Health Observatory - Prevalence of tuberculosis (per 100 000 population)
Prevalence of HIV among adults aged 15 to 49 (%),WHO Global Health Observatory - Prevalence of HIV among adults aged 15 to 49 (%),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/MDG_0000000029,[WHO-GHO] Prevalence of HIV among adults aged 15 to 49 (%): WHO Global Health Observatory - Prevalence of HIV among adults aged 15 to 49 (%)
Smear-positive tuberculosis case-detection rate (%),WHO Global Health Observatory - Smear-positive tuberculosis case-detection rate (%),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/MDG_0000000030,[WHO-GHO] Smear-positive tuberculosis case-detection rate (%): WHO Global Health Observatory - Smear-positive tuberculosis case-detection rate (%)
Coverage of national cervical cancer screening program (%),WHO Global Health Observatory - Coverage of national cervical cancer screening program (%),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/NCD_CCS_cervicalcancerpgmcvg,[WHO-GHO] Coverage of national cervical cancer screening program (%): WHO Global Health Observatory - Coverage of national cervical cancer screening program (%)
"General availability of diabetes testing (by blood glucose measurement, OGTT) at the primary health care level","WHO Global Health Observatory - General availability of diabetes testing (by blood glucose measurement, OGTT) at the primary health care level",WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/NCD_CCS_diabtest,"[WHO-GHO] General availability of diabetes testing (by blood glucose measurement, OGTT) at the primary health care level: WHO Global Health Observatory - General availability of diabetes testing (by blood glucose measurement, OGTT) at the primary health care level"
Leprosy - Number of cases registered for treatment,WHO Global Health Observatory - Leprosy - Number of cases registered for treatment,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/NTD_LEPR3,[WHO-GHO] Leprosy - Number of cases registered for treatment: WHO Global Health Observatory - Leprosy - Number of cases registered for treatment
Leprosy registered prevalence rate per 1 000 000 population,WHO Global Health Observatory - Leprosy registered prevalence rate per 1 000 000 population,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/NTD_LEPR4,[WHO-GHO] Leprosy registered prevalence rate per 1 000 000 population: WHO Global Health Observatory - Leprosy registered prevalence rate per 1 000 000 population
Leprosy - New leprosy cases with G2D rate per 1 000 000 population,WHO Global Health Observatory - Leprosy - New leprosy cases with G2D rate per 1 000 000 population,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/NTD_LEPR7,[WHO-GHO] Leprosy - New leprosy cases with G2D rate per 1 000 000 population: WHO Global Health Observatory - Leprosy - New leprosy cases with G2D rate per 1 000 000 population
Number of new G2D leprosy cases,WHO Global Health Observatory - Number of new G2D leprosy cases,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/NTD_LEPR5,[WHO-GHO] Number of new G2D leprosy cases: WHO Global Health Observatory - Number of new G2D leprosy cases
New leprosy case detection rate per 1 000 000 population,WHO Global Health Observatory - New leprosy case detection rate per 1 000 000 population,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/NTD_LEPR2,[WHO-GHO] New leprosy case detection rate per 1 000 000 population: WHO Global Health Observatory - New leprosy case detection rate per 1 000 000 population
Malaria incidence per 100 000 population,WHO Global Health Observatory - Malaria incidence per 100 000 population,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/MALARIA005,[WHO-GHO] Malaria incidence per 100 000 population: WHO Global Health Observatory - Malaria incidence per 100 000 population
Smear-positive tuberculosis treatment-success rate (%),WHO Global Health Observatory - Smear-positive tuberculosis treatment-success rate (%),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/MDG_0000000031,[WHO-GHO] Smear-positive tuberculosis treatment-success rate (%): WHO Global Health Observatory - Smear-positive tuberculosis treatment-success rate (%)
Population aged 15-24 years with comprehensive correct knowledge of HIV/AIDS (%),WHO Global Health Observatory - Population aged 15-24 years with comprehensive correct knowledge of HIV/AIDS (%),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/MDG_0000000021,[WHO-GHO] Population aged 15-24 years with comprehensive correct knowledge of HIV/AIDS (%): WHO Global Health Observatory - Population aged 15-24 years with comprehensive correct knowledge of HIV/AIDS (%)
Tuberculosis treatment success under DOTS (%),WHO Global Health Observatory - Tuberculosis treatment success under DOTS (%),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/MDG_0000000024,[WHO-GHO] Tuberculosis treatment success under DOTS (%): WHO Global Health Observatory - Tuberculosis treatment success under DOTS (%)
Leprosy - Number of new leprosy cases among children (less than 15 years of age),WHO Global Health Observatory - Leprosy - Number of new leprosy cases among children (less than 15 years of age),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/NTD_LEPR8,[WHO-GHO] Leprosy - Number of new leprosy cases among children (less than 15 years of age): WHO Global Health Observatory - Leprosy - Number of new leprosy cases among children (less than 15 years of age)
Number of new leprosy cases with G2D among children (less than 15 years of age),WHO Global Health Observatory - Number of new leprosy cases with G2D among children (less than 15 years of age),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/NTD_LEPR9,[WHO-GHO] Number of new leprosy cases with G2D among children (less than 15 years of age): WHO Global Health Observatory - Number of new leprosy cases with G2D among children (less than 15 years of age)
"Antiretroviral therapy coverage among people with advanced HIV infection (%), WHO 2006 guidelines","WHO Global Health Observatory - Antiretroviral therapy coverage among people with advanced HIV infection (%), WHO 2006 guidelines",WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/MDG_0000000034,"[WHO-GHO] Antiretroviral therapy coverage among people with advanced HIV infection (%), WHO 2006 guidelines: WHO Global Health Observatory - Antiretroviral therapy coverage among people with advanced HIV infection (%), WHO 2006 guidelines"
Antiretroviral therapy coverage among people with HIV infection eligible for ART according to 2010 guidelines (%),WHO Global Health Observatory - Antiretroviral therapy coverage among people with HIV infection eligible for ART according to 2010 guidelines (%),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/MDG_0000000033,[WHO-GHO] Antiretroviral therapy coverage among people with HIV infection eligible for ART according to 2010 guidelines (%): WHO Global Health Observatory - Antiretroviral therapy coverage among people with HIV infection eligible for ART according to 2010 guidelines (%)
"Obesity prevalence in non-pregnant women aged 15-49 years, BMI >= 30 (%)","WHO Global Health Observatory - Obesity prevalence in non-pregnant women aged 15-49 years, BMI >= 30 (%)",WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/obesewm,"[WHO-GHO] Obesity prevalence in non-pregnant women aged 15-49 years, BMI >= 30 (%): WHO Global Health Observatory - Obesity prevalence in non-pregnant women aged 15-49 years, BMI >= 30 (%)"
Children aged < 5 years with diarrhoea receiving oral rehydration salts (%),WHO Global Health Observatory - Children aged < 5 years with diarrhoea receiving oral rehydration salts (%),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/ors,[WHO-GHO] Children aged < 5 years with diarrhoea receiving oral rehydration salts (%): WHO Global Health Observatory - Children aged < 5 years with diarrhoea receiving oral rehydration salts (%)
Children aged < 5 years with diarrhoea receiving oral rehydration therapy and continued feeding (%),WHO Global Health Observatory - Children aged < 5 years with diarrhoea receiving oral rehydration therapy and continued feeding (%),WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/ort,[WHO-GHO] Children aged < 5 years with diarrhoea receiving oral rehydration therapy and continued feeding (%): WHO Global Health Observatory - Children aged < 5 years with diarrhoea receiving oral rehydration therapy and continued feeding (%)
"Age-standardized death rates, colon and rectum cancers, per 100,000","WHO Global Health Observatory - Age-standardized death rates, colon and rectum cancers, per 100,000",WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/SA_0000001439,"[WHO-GHO] Age-standardized death rates, colon and rectum cancers, per 100,000: WHO Global Health Observatory - Age-standardized death rates, colon and rectum cancers, per 100,000"
"Age-standardized death rates, liver cancer, per 100,000","WHO Global Health Observatory - Age-standardized death rates, liver cancer, per 100,000",WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/SA_0000001445,"[WHO-GHO] Age-standardized death rates, liver cancer, per 100,000: WHO Global Health Observatory - Age-standardized death rates, liver cancer, per 100,000"
"Age-standardized DALYs, breast cancer, per 100,000","WHO Global Health Observatory - Age-standardized DALYs, breast cancer, per 100,000",WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/SA_0000001419,"[WHO-GHO] Age-standardized DALYs, breast cancer, per 100,000: WHO Global Health Observatory - Age-standardized DALYs, breast cancer, per 100,000"
"Age-standardized DALYs, liver cancer, per 100,000","WHO Global Health Observatory - Age-standardized DALYs, liver cancer, per 100,000",WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/SA_0000001426,"[WHO-GHO] Age-standardized DALYs, liver cancer, per 100,000: WHO Global Health Observatory - Age-standardized DALYs, liver cancer, per 100,000"
"Age-standardized DALYs, colon and rectum cancers, per 100,000","WHO Global Health Observatory - Age-standardized DALYs, colon and rectum cancers, per 100,000",WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/SA_0000001420,"[WHO-GHO] Age-standardized DALYs, colon and rectum cancers, per 100,000: WHO Global Health Observatory - Age-standardized DALYs, colon and rectum cancers, per 100,000"
"Age-standardized DALYs, diabetes mellitus, per 100,000","WHO Global Health Observatory - Age-standardized DALYs, diabetes mellitus, per 100,000",WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/SA_0000001421,"[WHO-GHO] Age-standardized DALYs, diabetes mellitus, per 100,000: WHO Global Health Observatory - Age-standardized DALYs, diabetes mellitus, per 100,000"
"Age-standardized death rates, breast cancer, per 100,000","WHO Global Health Observatory - Age-standardized death rates, breast cancer, per 100,000",WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/SA_0000001438,"[WHO-GHO] Age-standardized death rates, breast cancer, per 100,000: WHO Global Health Observatory - Age-standardized death rates, breast cancer, per 100,000"
"Age-standardized DALYs, mouth and oropharynx cancer, per 100,000","WHO Global Health Observatory - Age-standardized DALYs, mouth and oropharynx cancer, per 100,000",WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/SA_0000001429,"[WHO-GHO] Age-standardized DALYs, mouth and oropharynx cancer, per 100,000: WHO Global Health Observatory - Age-standardized DALYs, mouth and oropharynx cancer, per 100,000"
"Age-standardized death rates, oesophagus cancer, per 100,000","WHO Global Health Observatory - Age-standardized death rates, oesophagus cancer, per 100,000",WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/SA_0000001449,"[WHO-GHO] Age-standardized death rates, oesophagus cancer, per 100,000: WHO Global Health Observatory - Age-standardized death rates, oesophagus cancer, per 100,000"
"Age-standardized DALYs, oesophagus cancer, per 100,000","WHO Global Health Observatory - Age-standardized DALYs, oesophagus cancer, per 100,000",WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/SA_0000001430,"[WHO-GHO] Age-standardized DALYs, oesophagus cancer, per 100,000: WHO Global Health Observatory - Age-standardized DALYs, oesophagus cancer, per 100,000"
"Age-standardized death rates, diabetes mellitus, per 100,000","WHO Global Health Observatory - Age-standardized death rates, diabetes mellitus, per 100,000",WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/SA_0000001440,"[WHO-GHO] Age-standardized death rates, diabetes mellitus, per 100,000: WHO Global Health Observatory - Age-standardized death rates, diabetes mellitus, per 100,000"
"Age-standardized death rates, mouth and oropharynx cancer, per 100,000","WHO Global Health Observatory - Age-standardized death rates, mouth and oropharynx cancer, per 100,000",WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/SA_0000001448,"[WHO-GHO] Age-standardized death rates, mouth and oropharynx cancer, per 100,000: WHO Global Health Observatory - Age-standardized death rates, mouth and oropharynx cancer, per 100,000"
Inclusion of radon in national cancer control strategy,WHO Global Health Observatory - Inclusion of radon in national cancer control strategy,WHO-GHO,https://www.who.int/data/gho/data/indicators/indicator-details/GHO/RADON_Q803,[WHO-GHO] Inclusion of radon in national cancer control strategy: WHO Global Health Observatory - Inclusion of radon in national cancer control strategy
