topic,description,symptoms,prevention,treatment,source,text
Stroke,"Đột quỵ xảy ra khi nguồn cung cấp máu đến một phần não bị gián đoạn hoặc giảm, ngăn mô não nhận oxy và chất dinh dưỡng. Là cấp cứu y tế, cần can thiệp ngay lập tức.","sudden numbness or weakness in face/arm/leg (especially one side), confusion, trouble speaking or understanding, vision problems, dizziness, severe headache","Control blood pressure, manage diabetes, maintain healthy weight, exercise regularly, healthy diet, avoid smoking, limit alcohol",,WHO,"Stroke: Đột quỵ xảy ra khi nguồn cung cấp máu đến một phần não bị gián đoạn hoặc giảm, ngăn mô não nhận oxy và chất dinh dưỡng. Là cấp cứu y tế, cần can thiệp ngay lập tức. Triệu chứng: sudden numbness or weakness in face/arm/leg (especially one side), confusion, trouble speaking or understanding, vision problems, dizziness, severe headache. Phòng ngừa: Control blood pressure, manage diabetes, maintain healthy weight, exercise regularly, healthy diet, avoid smoking, limit alcohol"
Obesity,Béo phì là tình trạng tích tụ mỡ thừa đến mức có thể ảnh hưởng tiêu cực đến sức khỏe. BMI ≥30 được coi là béo phì. Là yếu tố nguy cơ cho nhiều bệnh mãn tính.,"excessive body fat, breathlessness, increased sweating, snoring, difficulty with physical activity, joint and back pain, low self-esteem","Balanced diet, regular physical activity, limit processed foods and sugary drinks, adequate sleep, stress management, behavioral changes",,WHO,"Obesity: Béo phì là tình trạng tích tụ mỡ thừa đến mức có thể ảnh hưởng tiêu cực đến sức khỏe. BMI ≥30 được coi là béo phì. Là yếu tố nguy cơ cho nhiều bệnh mãn tính. Triệu chứng: excessive body fat, breathlessness, increased sweating, snoring, difficulty with physical activity, joint and back pain, low self-esteem. Phòng ngừa: Balanced diet, regular physical activity, limit processed foods and sugary drinks, adequate sleep, stress management, behavioral changes"
Dengue Fever,"Sốt xuất huyết dengue là bệnh virus lây truyền qua muỗi Aedes, phổ biến ở vùng nhiệt đới và cận nhiệt đới. Có thể gây biến chứng nghiêm trọng nếu tiến triển thành sốt xuất huyết nặng.","high fever, severe headache, pain behind eyes, joint and muscle pain, rash, mild bleeding (nose, gums), nausea, vomiting","Eliminate mosquito breeding sites, use mosquito repellent, wear protective clothing, use bed nets, community mosquito control programs",,WHO,"Dengue Fever: Sốt xuất huyết dengue là bệnh virus lây truyền qua muỗi Aedes, phổ biến ở vùng nhiệt đới và cận nhiệt đới. Có thể gây biến chứng nghiêm trọng nếu tiến triển thành sốt xuất huyết nặng. Triệu chứng: high fever, severe headache, pain behind eyes, joint and muscle pain, rash, mild bleeding (nose, gums), nausea, vomiting. Phòng ngừa: Eliminate mosquito breeding sites, use mosquito repellent, wear protective clothing, use bed nets, community mosquito control programs"
Hepatitis,"Viêm gan là tình trạng viêm của gan, có thể do virus (A, B, C, D, E), rượu, thuốc, hoặc các nguyên nhân khác. Viêm gan B và C có thể dẫn đến viêm gan mãn tính, xơ gan và ung thư gan.","fatigue, nausea, abdominal pain, loss of appetite, dark urine, pale stool, yellowing of skin and eyes (jaundice), joint pain","Vaccination (Hepatitis A & B), safe water and food, safe injection practices, avoid sharing needles, safe sex, alcohol moderation",,WHO,"Hepatitis: Viêm gan là tình trạng viêm của gan, có thể do virus (A, B, C, D, E), rượu, thuốc, hoặc các nguyên nhân khác. Viêm gan B và C có thể dẫn đến viêm gan mãn tính, xơ gan và ung thư gan. Triệu chứng: fatigue, nausea, abdominal pain, loss of appetite, dark urine, pale stool, yellowing of skin and eyes (jaundice), joint pain. Phòng ngừa: Vaccination (Hepatitis A & B), safe water and food, safe injection practices, avoid sharing needles, safe sex, alcohol moderation"
Chronic Kidney Disease,"Bệnh thận mãn tính là sự giảm dần chức năng thận theo thời gian. Thận không lọc máu hiệu quả, dẫn đến tích tụ chất thải trong cơ thể. Có thể tiến triển thành suy thận giai đoạn cuối.","fatigue, swelling in ankles/feet/hands, shortness of breath, nausea, confusion, decreased urination, blood in urine, foamy urine","Control blood pressure, manage diabetes, healthy diet (low salt, controlled protein), regular exercise, avoid NSAIDs overuse, quit smoking",,WHO,"Chronic Kidney Disease: Bệnh thận mãn tính là sự giảm dần chức năng thận theo thời gian. Thận không lọc máu hiệu quả, dẫn đến tích tụ chất thải trong cơ thể. Có thể tiến triển thành suy thận giai đoạn cuối. Triệu chứng: fatigue, swelling in ankles/feet/hands, shortness of breath, nausea, confusion, decreased urination, blood in urine, foamy urine. Phòng ngừa: Control blood pressure, manage diabetes, healthy diet (low salt, controlled protein), regular exercise, avoid NSAIDs overuse, quit smoking"
Arthritis,"Viêm khớp là viêm một hoặc nhiều khớp, gây đau và cứng khớp. Có nhiều loại viêm khớp, phổ biến nhất là viêm xương khớp (do mòn) và viêm khớp dạng thấp (tự miễn).","joint pain, stiffness, swelling, redness, decreased range of motion, warmth around joint, fatigue, morning stiffness","Maintain healthy weight, regular exercise, protect joints from injury, balanced diet, avoid smoking, early treatment of joint injuries",,WHO,"Arthritis: Viêm khớp là viêm một hoặc nhiều khớp, gây đau và cứng khớp. Có nhiều loại viêm khớp, phổ biến nhất là viêm xương khớp (do mòn) và viêm khớp dạng thấp (tự miễn). Triệu chứng: joint pain, stiffness, swelling, redness, decreased range of motion, warmth around joint, fatigue, morning stiffness. Phòng ngừa: Maintain healthy weight, regular exercise, protect joints from injury, balanced diet, avoid smoking, early treatment of joint injuries"
Migraine,"Đau nửa đầu là loại đau đầu thường kèm theo buồn nôn, nôn và nhạy cảm với ánh sáng và âm thanh. Có thể kéo dài từ vài giờ đến vài ngày và ảnh hưởng nghiêm trọng đến sinh hoạt.","intense throbbing or pulsing pain (usually one side), nausea, vomiting, sensitivity to light and sound, visual disturbances (aura), dizziness","Identify and avoid triggers, regular sleep schedule, stress management, regular meals, stay hydrated, limit caffeine and alcohol",,WHO,"Migraine: Đau nửa đầu là loại đau đầu thường kèm theo buồn nôn, nôn và nhạy cảm với ánh sáng và âm thanh. Có thể kéo dài từ vài giờ đến vài ngày và ảnh hưởng nghiêm trọng đến sinh hoạt. Triệu chứng: intense throbbing or pulsing pain (usually one side), nausea, vomiting, sensitivity to light and sound, visual disturbances (aura), dizziness. Phòng ngừa: Identify and avoid triggers, regular sleep schedule, stress management, regular meals, stay hydrated, limit caffeine and alcohol"
Pneumonia,"Viêm phổi là nhiễm trùng làm viêm túi khí trong một hoặc cả hai phổi, có thể chứa đầy dịch hoặc mủ. Có thể do vi khuẩn, virus hoặc nấm gây ra. Nguy hiểm cho trẻ em, người cao tuổi.","cough with phlegm or pus, fever, chills, difficulty breathing, chest pain when breathing or coughing, fatigue, confusion (in elderly)","Vaccination (pneumococcal, flu), good hygiene, avoid smoking, healthy lifestyle, manage chronic conditions, avoid sick people",,WHO,"Pneumonia: Viêm phổi là nhiễm trùng làm viêm túi khí trong một hoặc cả hai phổi, có thể chứa đầy dịch hoặc mủ. Có thể do vi khuẩn, virus hoặc nấm gây ra. Nguy hiểm cho trẻ em, người cao tuổi. Triệu chứng: cough with phlegm or pus, fever, chills, difficulty breathing, chest pain when breathing or coughing, fatigue, confusion (in elderly). Phòng ngừa: Vaccination (pneumococcal, flu), good hygiene, avoid smoking, healthy lifestyle, manage chronic conditions, avoid sick people"
Influenza,"Cúm là nhiễm virus đường hô hấp cấp tính, có khả năng lây lan cao. Thường tự khỏi sau 1-2 tuần nhưng có thể gây biến chứng nghiêm trọng ở người già, trẻ em, và người có bệnh nền.","sudden onset fever, cough, sore throat, runny nose, body aches, headache, fatigue, sometimes vomiting and diarrhea","Annual flu vaccination, hand hygiene, respiratory etiquette, avoid close contact with sick people, stay home when sick",,WHO,"Influenza: Cúm là nhiễm virus đường hô hấp cấp tính, có khả năng lây lan cao. Thường tự khỏi sau 1-2 tuần nhưng có thể gây biến chứng nghiêm trọng ở người già, trẻ em, và người có bệnh nền. Triệu chứng: sudden onset fever, cough, sore throat, runny nose, body aches, headache, fatigue, sometimes vomiting and diarrhea. Phòng ngừa: Annual flu vaccination, hand hygiene, respiratory etiquette, avoid close contact with sick people, stay home when sick"
Alzheimer's Disease,"Bệnh Alzheimer là dạng sa sút trí tuệ phổ biến nhất, gây giảm dần trí nhớ, tư duy và kỹ năng xã hội. Thường gặp ở người cao tuổi và hiện chưa có cách chữa khỏi.","memory loss, difficulty with familiar tasks, confusion with time or place, problems with words, poor judgment, personality changes, withdrawal","Regular mental and physical exercise, social engagement, healthy diet, control cardiovascular risk factors, adequate sleep, lifelong learning",,WHO,"Alzheimer's Disease: Bệnh Alzheimer là dạng sa sút trí tuệ phổ biến nhất, gây giảm dần trí nhớ, tư duy và kỹ năng xã hội. Thường gặp ở người cao tuổi và hiện chưa có cách chữa khỏi. Triệu chứng: memory loss, difficulty with familiar tasks, confusion with time or place, problems with words, poor judgment, personality changes, withdrawal. Phòng ngừa: Regular mental and physical exercise, social engagement, healthy diet, control cardiovascular risk factors, adequate sleep, lifelong learning"
Common Cold,"Cảm lạnh thông thường là nhiễm virus đường hô hấp trên, rất phổ biến và thường tự khỏi sau vài ngày.","runny nose, sneezing, sore throat, cough, congestion, mild headache, slight body aches",,"Rest, fluids, over-the-counter cold medications, throat lozenges",CDC,"Common Cold: Cảm lạnh thông thường là nhiễm virus đường hô hấp trên, rất phổ biến và thường tự khỏi sau vài ngày. Triệu chứng: runny nose, sneezing, sore throat, cough, congestion, mild headache, slight body aches. Điều trị: Rest, fluids, over-the-counter cold medications, throat lozenges"
Gastroenteritis,"Viêm dạ dày ruột là viêm đường tiêu hóa, thường do virus hoặc vi khuẩn gây ra. Gây tiêu chảy, nôn mửa và đau bụng.","diarrhea, nausea, vomiting, stomach cramps, fever, dehydration",,"Rehydration (ORS), rest, bland diet (BRAT), avoid dairy initially, medical care if severe",CDC,"Gastroenteritis: Viêm dạ dày ruột là viêm đường tiêu hóa, thường do virus hoặc vi khuẩn gây ra. Gây tiêu chảy, nôn mửa và đau bụng. Triệu chứng: diarrhea, nausea, vomiting, stomach cramps, fever, dehydration. Điều trị: Rehydration (ORS), rest, bland diet (BRAT), avoid dairy initially, medical care if severe"
Urinary Tract Infection,Nhiễm trùng đường tiết niệu là nhiễm trùng ở bất kỳ phần nào của hệ tiết niệu. Phổ biến hơn ở phụ nữ.,"burning sensation when urinating, frequent urination, cloudy or bloody urine, pelvic pain, fever, urgency to urinate",,"Antibiotics, drink plenty of water, urinate frequently, avoid irritants",NIH,"Urinary Tract Infection: Nhiễm trùng đường tiết niệu là nhiễm trùng ở bất kỳ phần nào của hệ tiết niệu. Phổ biến hơn ở phụ nữ. Triệu chứng: burning sensation when urinating, frequent urination, cloudy or bloody urine, pelvic pain, fever, urgency to urinate. Điều trị: Antibiotics, drink plenty of water, urinate frequently, avoid irritants"
Allergic Rhinitis,"Viêm mũi dị ứng (hay còn gọi là sổ mũi dị ứng) là phản ứng dị ứng với các chất gây dị ứng như phấn hoa, bụi, lông động vật.","sneezing, runny or stuffy nose, itchy eyes/nose/throat, watery eyes, postnasal drip",,"Avoid allergens, antihistamines, nasal corticosteroids, decongestants, immunotherapy",NIH,"Allergic Rhinitis: Viêm mũi dị ứng (hay còn gọi là sổ mũi dị ứng) là phản ứng dị ứng với các chất gây dị ứng như phấn hoa, bụi, lông động vật. Triệu chứng: sneezing, runny or stuffy nose, itchy eyes/nose/throat, watery eyes, postnasal drip. Điều trị: Avoid allergens, antihistamines, nasal corticosteroids, decongestants, immunotherapy"
Acid Reflux (GERD),"Trào ngược dạ dày thực quản là tình trạng acid dạ dày trào ngược lên thực quản, gây khó chịu và có thể tổn thương niêm mạc thực quản.","heartburn, regurgitation, difficulty swallowing, chest pain, chronic cough, sour taste in mouth",,"Lifestyle changes (diet, weight loss), avoid trigger foods, elevate head when sleeping, antacids, proton pump inhibitors",NIH,"Acid Reflux (GERD): Trào ngược dạ dày thực quản là tình trạng acid dạ dày trào ngược lên thực quản, gây khó chịu và có thể tổn thương niêm mạc thực quản. Triệu chứng: heartburn, regurgitation, difficulty swallowing, chest pain, chronic cough, sour taste in mouth. Điều trị: Lifestyle changes (diet, weight loss), avoid trigger foods, elevate head when sleeping, antacids, proton pump inhibitors"
